EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
7719,Strigidae,02/06/2008,,Strigidae,NA
7720,Caprimulgus inornatus,02/06/2008,,Caprimulgus inornatus,2095
7730,Caprimulgus nubicus,02/06/2008,,Caprimulgus nubicus,2029
7740,Caprimulgus europaeus plumipes,02/06/2008,,Caprimulgus centralasicus,2016
7750,Caprimulgus mahrattensis,02/06/2008,,Caprimulgus mahrattensis,2028
7760,Caprimulgus asiaticus,02/06/2008,,Caprimulgus asiaticus,2079
7770,Caprimulgus indicus,02/06/2008,,Caprimulgus indicus,2002
7780,Caprimulgus europaeus,02/06/2008,,Caprimulgus europaeus,2010
7790,Caprimulgus ruficollis,02/06/2008,,Caprimulgus ruficollis,1999
7800,Caprimulgus eximius,02/06/2008,,Caprimulgus eximius,2035
7810,Caprimulgus aegyptius,02/06/2008,,Caprimulgus aegyptius,2025
7820,Antrostomus carolinensis,02/06/2008,,Caprimulgus carolinensis,1964
7830,Antrostomus vociferus,02/06/2008,,Caprimulgus vociferus,1987
7839,Caprimulgidae sp.,02/06/2008,,Caprimulgus spp.,NA
7840,Phalaenoptilus nuttallii,02/06/2008,,Phalaenoptilus nuttallii,1957
7850,Nyctidromus albicollis,02/06/2008,,Nyctidromus albicollis,1885
7860,Chordeiles minor,02/06/2008,,Chordeiles minor,1850
7870,Chordeiles acutipennis,02/06/2008,,Chordeiles acutipennis,1841
7880,Cypseloides niger,02/06/2008,,Cypseloides niger,2267
7890,Aerodramus brevirostris,02/06/2008,,Collocalia brevirostris,2378
7900,Chaetura pelagica,02/06/2008,,Chaetura pelagica,2511
7910,Chaetura vauxi,02/06/2008,,Chaetura vauxi,2512
7920,Hirundapus caudacutus,02/06/2008,,Hirundapus caudacutus,2479
7930,Apus alexandri,02/06/2008,,Apus alexandri,2594
7940,Apus unicolor,02/06/2008,,Apus unicolor,2599
7950,Apus apus,02/06/2008,,Apus apus,2596
